preverb,verb,grammatical,ungrammatical,grammatical_context,ungrammatical_context,grammatical_context_adverb,ungrammatical_context_adverb,grammatical_context_adverb2,ungrammatical_context_adverb2
meg,támadták,Nem támadták meg,Nem megtámadták,Nem támadták meg a kis várost,Nem megtámadták a kis várost,Nem azért támadták meg a kis várost,Nem azért megtámadták a kis várost,Nem azért túl támadták meg a kis várost,Nem azért túl megtámadták a kis várost
meg,tudja,Nem tudja meg,Nem megtudja,Nem tudja meg a nagy titkot,Nem megtudja a nagy titkot,Nem mindjárt tudja meg a nagy titkot,Nem mindjárt megtudja a nagy titkot,Nem mindjárt túl tudja meg a nagy titkot,Nem mindjárt túl megtudja a nagy titkot
meg,győzte,Nem győzte meg,Nem meggyőzte,Nem győzte meg a nagy közönséget,Nem meggyőzte a nagy közönséget,Nem véletlenül győzte meg a nagy közönséget,Nem véletlenül meggyőzte a nagy közönséget,Nem véletlenül túl győzte meg a nagy közönséget,Nem véletlenül túl meggyőzte a nagy közönséget
el,hagyják,Ne hagyják el,Ne elhagyják,Ne hagyják el a fő állomást,Ne elhagyják a fő állomást,Ne este hagyják el a fő állomást,Ne este elhagyják a fő állomást,Ne este túl hagyják el a fő állomást,Ne este túl elhagyják a fő állomást
fel,oszlatja,Nem oszlatja fel,Nem feloszlatja,Nem oszlatja fel a tüntető gyülekezetet,Nem feloszlatja a tüntető gyülekezetet,Nem okvetlenül oszlatja fel a tüntető gyülekezetet,Nem okvetlenül feloszlatja a tüntető gyülekezetet,Nem okvetlenül túl oszlatja fel a tüntető gyülekezetet,Nem okvetlenül túl feloszlatja a tüntető gyülekezetet
ki,nyitották,Nem nyitották ki,Nem kinyitották,Nem nyitották ki a hátsó ajtót,Nem kinyitották a hátsó ajtót,Nem aznap nyitották ki a hátsó ajtót,Nem aznap kinyitották a hátsó ajtót,Nem aznap túl nyitották ki a hátsó ajtót,Nem aznap túl kinyitották a hátsó ajtót
el,vállaljam,Ne vállaljam el,Ne elvállaljam,Ne vállaljam el a nehéz feladatot,Ne elvállaljam a nehéz feladatot,Ne időközben vállaljam el a nehéz feladatot,Ne időközben elvállaljam a nehéz feladatot,Ne időközben túl vállaljam el a nehéz feladatot,Ne időközben túl elvállaljam a nehéz feladatot
el,menjen,Ne menjen el,Ne elmenjen,Ne menjen el korán otthonról,Ne elmenjen korán otthonról,Ne hiába menjen el korán otthonról,Ne hiába elmenjen korán otthonról,Ne hiába túl menjen el korán otthonról,Ne hiába túl elmenjen korán otthonról
meg,indul,Nem indul meg,Nem megindul,Nem indul meg a nagy verseny,Nem megindul a nagy verseny,Nem este indul meg a nagy verseny,Nem este megindul a nagy verseny,Nem este túl indul meg a nagy verseny,Nem este túl megindul a nagy verseny
fel,keltették,Nem keltették fel,Nem felkeltették,Nem keltették fel a kis gyereket,Nem felkeltették a kis gyereket,Nem emiatt keltették fel a kis gyereket,Nem emiatt felkeltették a kis gyereket,Nem emiatt túl keltették fel a kis gyereket,Nem emiatt túl felkeltették a kis gyereket
ki,fejezte,Nem fejezte ki,Nem kifejezte,Nem fejezte ki a nyílt véleményét,Nem kifejezte a nyílt véleményét,Nem ezért fejezte ki a nyílt véleményét,Nem ezért kifejezte a nyílt véleményét,Nem ezért túl fejezte ki a nyílt véleményét,Nem ezért túl kifejezte a nyílt véleményét
ki,kerülnek,Nem kerülnek ki,Nem kikerülnek,Nem kerülnek ki a friss hírek,Nem kikerülnek a friss hírek,Nem igazán kerülnek ki a friss hírek,Nem igazán kikerülnek a friss hírek,Nem igazán túl kerülnek ki a friss hírek,Nem igazán túl kikerülnek a friss hírek
bele,szédüljön,Ne szédüljön bele,Ne beleszédüljön,Ne szédüljön bele a zajos forgatagba,Ne beleszédüljön a zajos forgatagba,Ne mindenütt szédüljön bele a zajos forgatagba,Ne mindenütt beleszédüljön a zajos forgatagba,Ne mindenütt túl szédüljön bele a zajos forgatagba,Ne mindenütt túl beleszédüljön a zajos forgatagba
ki,vetnek,Nem vetnek ki,Nem kivetnek,Nem vetnek ki hosszú börtönbüntetést,Nem kivetnek hosszú börtönbüntetést,Nem először vetnek ki hosszú börtönbüntetést,Nem először kivetnek hosszú börtönbüntetést,Nem először túl vetnek ki hosszú börtönbüntetést,Nem először túl kivetnek hosszú börtönbüntetést
el,orozta,Nem orozta el,Nem elorozta,Nem orozta el a régi kincset,Nem elorozta a régi kincset,Nem csaknem orozta el a régi kincset,Nem csaknem elorozta a régi kincset,Nem csaknem túl orozta el a régi kincset,Nem csaknem túl elorozta a régi kincset
be,engedik,Nem engedik be,Nem beengedik,Nem engedik be a késői látogatókat,Nem beengedik a késői látogatókat,Nem mindenképpen engedik be a késői látogatókat,Nem mindenképpen beengedik a késői látogatókat,Nem mindenképpen túl engedik be a késői látogatókat,Nem mindenképpen túl beengedik a késői látogatókat
be,számoljon,Ne számoljon be,Ne beszámoljon,Ne számoljon be a főnökének hamar,Ne beszámoljon a főnökének hamar,Ne okvetlenül számoljon be a főnökének hamar,Ne okvetlenül beszámoljon a főnökének hamar,Ne okvetlenül túl számoljon be a főnökének hamar,Ne okvetlenül túl beszámoljon a főnökének hamar
ki,fejtette,Nem fejtette ki,Nem kifejtette,Nem fejtette ki a részletes tervét,Nem kifejtette a részletes tervét,Nem mindig fejtette ki a részletes tervét,Nem mindig kifejtette a részletes tervét,Nem mindig túl fejtette ki a részletes tervét,Nem mindig túl kifejtette a részletes tervét
el,kellett,Nem kellett el,Nem elkellett,Nem kellett el sietve mennie,Nem elkellett sietve mennie,Nem okvetlenül kellett el sietve mennie,Nem okvetlenül elkellett sietve mennie,Nem okvetlenül túl kellett el sietve mennie,Nem okvetlenül túl elkellett sietve mennie
el,ismerte,Nem ismerte el,Nem elismerte,Nem ismerte el a nyilvánvaló hibáját,Nem elismerte a nyilvánvaló hibáját,Nem azért ismerte el a nyilvánvaló hibáját,Nem azért elismerte a nyilvánvaló hibáját,Nem azért túl ismerte el a nyilvánvaló hibáját,Nem azért túl elismerte a nyilvánvaló hibáját
át,alakítottak,Nem alakítottak át,Nem átalakítottak,Nem alakítottak át nagy szobát,Nem átalakítottak nagy szobát,Nem hiába alakítottak át nagy szobát,Nem hiába átalakítottak nagy szobát,Nem hiába túl alakítottak át nagy szobát,Nem hiába túl átalakítottak nagy szobát
meg,kezdődött,Nem kezdődött meg,Nem megkezdődött,Nem kezdődött meg a nagy koncert,Nem megkezdődött a nagy koncert,Nem ezért kezdődött meg a nagy koncert,Nem ezért megkezdődött a nagy koncert,Nem ezért túl kezdődött meg a nagy koncert,Nem ezért túl megkezdődött a nagy koncert
fel,építse,Ne építse fel,Ne felépítse,Ne építse fel a nagy sátrat,Ne felépítse a nagy sátrat,Ne azonnal építse fel a nagy sátrat,Ne azonnal felépítse a nagy sátrat,Ne azonnal túl építse fel a nagy sátrat,Ne azonnal túl felépítse a nagy sátrat
fel,sorolja,Nem sorolja fel,Nem felsorolja,Nem sorolja fel az összes neveket,Nem felsorolja az összes neveket,Nem korábban sorolja fel az összes neveket,Nem korábban felsorolja az összes neveket,Nem korábban túl sorolja fel az összes neveket,Nem korábban túl felsorolja az összes neveket
be,számolt,Nem számolt be,Nem beszámolt,Nem számolt be a fontos találkozóról,Nem beszámolt a fontos találkozóról,Nem akkoriban számolt be a fontos találkozóról,Nem akkoriban beszámolt a fontos találkozóról,Nem akkoriban túl számolt be a fontos találkozóról,Nem akkoriban túl beszámolt a fontos találkozóról
ki,vonnak,Nem vonnak ki,Nem kivonnak,Nem vonnak ki gyors következtetést,Nem kivonnak gyors következtetést,Nem azután vonnak ki gyors következtetést,Nem azután kivonnak gyors következtetést,Nem azután túl vonnak ki gyors következtetést,Nem azután túl kivonnak gyors következtetést
el,rabolták,Nem rabolták el,Nem elrabolták,Nem rabolták el a kis gyereket,Nem elrabolták a kis gyereket,Nem azonnal rabolták el a kis gyereket,Nem azonnal elrabolták a kis gyereket,Nem azonnal túl rabolták el a kis gyereket,Nem azonnal túl elrabolták a kis gyereket
hátra,hagyott,Nem hagyott hátra,Nem hátrahagyott,Nem hagyott hátra rövid üzenetet,Nem hátrahagyott rövid üzenetet,Nem ezért hagyott hátra rövid üzenetet,Nem ezért hátrahagyott rövid üzenetet,Nem ezért túl hagyott hátra rövid üzenetet,Nem ezért túl hátrahagyott rövid üzenetet
fel,sorol,Nem sorol fel,Nem felsorol,Nem sorol fel sok példákat,Nem felsorol sok példákat,Nem azután sorol fel sok példákat,Nem azután felsorol sok példákat,Nem azután túl sorol fel sok példákat,Nem azután túl felsorol sok példákat
meg,jelentet,Nem jelentet meg,Nem megjelentet,Nem jelentet meg új könyvet,Nem megjelentet új könyvet,Nem ezért jelentet meg új könyvet,Nem ezért megjelentet új könyvet,Nem ezért túl jelentet meg új könyvet,Nem ezért túl megjelentet új könyvet
össze,dőltek,Nem dőltek össze,Nem összedőltek,Nem dőltek össze a régi falak,Nem összedőltek a régi falak,Nem akkor dőltek össze a régi falak,Nem akkor összedőltek a régi falak,Nem akkor túl dőltek össze a régi falak,Nem akkor túl összedőltek a régi falak
ki,zárta,Nem zárta ki,Nem kizárta,Nem zárta ki a fontos lehetőséget,Nem kizárta a fontos lehetőséget,Nem azonnal zárta ki a fontos lehetőséget,Nem azonnal kizárta a fontos lehetőséget,Nem azonnal túl zárta ki a fontos lehetőséget,Nem azonnal túl kizárta a fontos lehetőséget
át,töri,Nem töri át,Nem áttöri,Nem töri át a vastag falat,Nem áttöri a vastag falat,Nem ezért töri át a vastag falat,Nem ezért áttöri a vastag falat,Nem ezért túl töri át a vastag falat,Nem ezért túl áttöri a vastag falat
meg,nyitotta,Nem nyitotta meg,Nem megnyitotta,Nem nyitotta meg a hátsó ajtót,Nem megnyitotta a hátsó ajtót,Nem bármikor nyitotta meg a hátsó ajtót,Nem bármikor megnyitotta a hátsó ajtót,Nem bármikor túl nyitotta meg a hátsó ajtót,Nem bármikor túl megnyitotta a hátsó ajtót
meg,nyerte,Nem nyerte meg,Nem megnyerte,Nem nyerte meg a nagy versenyt,Nem megnyerte a nagy versenyt,Nem aznap nyerte meg a nagy versenyt,Nem aznap megnyerte a nagy versenyt,Nem aznap túl nyerte meg a nagy versenyt,Nem aznap túl megnyerte a nagy versenyt
fel,fedezi,Nem fedezi fel,Nem felfedezi,Nem fedezi fel a régi titkot,Nem felfedezi a régi titkot,Nem ezért fedezi fel a régi titkot,Nem ezért felfedezi a régi titkot,Nem ezért túl fedezi fel a régi titkot,Nem ezért túl felfedezi a régi titkot
ki,húznak,Nem húznak ki,Nem kihúznak,Nem húznak ki gyorsan fegyvert,Nem kihúznak gyorsan fegyvert,Nem azonnal húznak ki gyorsan fegyvert,Nem azonnal kihúznak gyorsan fegyvert,Nem azonnal túl húznak ki gyorsan fegyvert,Nem azonnal túl kihúznak gyorsan fegyvert
fel,jelentette,Nem jelentette fel,Nem feljelentette,Nem jelentette fel a zajos szomszédot,Nem feljelentette a zajos szomszédot,Nem mindig jelentette fel a zajos szomszédot,Nem mindig feljelentette a zajos szomszédot,Nem mindig túl jelentette fel a zajos szomszédot,Nem mindig túl feljelentette a zajos szomszédot
el,vette,Nem vette el,Nem elvette,Nem vette el a kis gyermeket,Nem elvette a kis gyermeket,Nem amiatt vette el a kis gyermeket,Nem amiatt elvette a kis gyermeket,Nem amiatt túl vette el a kis gyermeket,Nem amiatt túl elvette a kis gyermeket
be,ment,Nem ment be,Nem bement,Nem ment be a sötét szobába,Nem bement a sötét szobába,Nem mindenáron ment be a sötét szobába,Nem mindenáron bement a sötét szobába,Nem mindenáron túl ment be a sötét szobába,Nem mindenáron túl bement a sötét szobába
meg,semmisíti,Nem semmisíti meg,Nem megsemmisíti,Nem semmisíti meg a fontos dokumentumot,Nem megsemmisíteni a fontos dokumentumot,Nem korábban semmisíti meg a fontos dokumentumot,Nem korábban megsemmisíteni a fontos dokumentumot,Nem korábban túl semmisíti meg a fontos dokumentumot,Nem korábban túl megsemmisíteni a fontos dokumentumot
be,fejezi,Nem fejezi be,Nem befejezi,Nem fejezi be a hosszú mondatot,Nem befejezi a hosszú mondatot,Nem azonnal fejezi be a hosszú mondatot,Nem azonnal befejezi a hosszú mondatot,Nem azonnal túl fejezi be a hosszú mondatot,Nem azonnal túl befejezi a hosszú mondatot
alá,írhatta,Nem írhatta alá,Nem aláírhatta,Nem írhatta alá az új szerződést,Nem aláírhatta az új szerződést,Nem akkoriban írhatta alá az új szerződést,Nem akkoriban aláírhatta az új szerződést,Nem akkoriban túl írhatta alá az új szerződést,Nem akkoriban túl aláírhatta az új szerződést
ki,derül,Nem derül ki,Nem kiderül,Nem derül ki hamar az igazság,Nem kiderül hamar az igazság,Nem hiába derül ki hamar az igazság,Nem hiába kiderül hamar az igazság,Nem hiába túl derül ki hamar az igazság,Nem hiába túl kiderül hamar az igazság
föl,nőtt,Nem nőtt föl,Nem fölnőtt,Nem nőtt föl a nagy fa,Nem fölnőtt a nagy fa,Nem időközben nőtt föl a nagy fa,Nem időközben fölnőtt a nagy fa,Nem időközben túl nőtt föl a nagy fa,Nem időközben túl fölnőtt a nagy fa
szembe,néznek,Nem néznek szembe,Nem szembenéznek,Nem néznek szembe a komoly problémával,Nem szembenéznek a komoly problémával,Nem először néznek szembe a komoly problémával,Nem először szembenéznek a komoly problémával,Nem először túl néznek szembe a komoly problémával,Nem először túl szembenéznek a komoly problémával
be,mutatják,Nem mutatják be,Nem bemutatják,Nem mutatják be az új készüléket,Nem bemutatják az új készüléket,Nem akkor mutatják be az új készüléket,Nem akkor bemutatják az új készüléket,Nem akkor túl mutatják be az új készüléket,Nem akkor túl bemutatják az új készüléket
vissza,tért,Nem tért vissza,Nem visszatért,Nem tért vissza a kedves régi helyre,Nem visszatért a kedves régi helyre,Nem este tért vissza a kedves régi helyre,Nem este visszatért a kedves régi helyre,Nem este túl tért vissza a kedves régi helyre,Nem este túl visszatért a kedves régi helyre
elő,írja,Nem írja elő,Nem előírja,Nem írja elő a pontos szabályt,Nem előírja a pontos szabályt,Nem aznap írja elő a pontos szabályt,Nem aznap előírja a pontos szabályt,Nem aznap túl írja elő a pontos szabályt,Nem aznap túl előírja a pontos szabályt
ki,alakítottak,Nem alakítottak ki,Nem kialakítottak,Nem alakítottak ki erős kapcsolatot,Nem kialakítottak erős kapcsolatot,Nem azóta alakítottak ki erős kapcsolatot,Nem azóta kialakítottak erős kapcsolatot,Nem azóta túl alakítottak ki erős kapcsolatot,Nem azóta túl kialakítottak erős kapcsolatot
el,hagyta,Nem hagyta el,Nem elhagyta,Nem hagyta el a szerető családját,Nem elhagyta a szerető családját,Nem hiába hagyta el a szerető családját,Nem hiába elhagyta a szerető családját,Nem hiába túl hagyta el a szerető családját,Nem hiába túl elhagyta a szerető családját
fel,használták,Nem használták fel,Nem felhasználták,Nem használták fel a drága anyagot,Nem felhasználták a drága anyagot,Nem okvetlenül használták fel a drága anyagot,Nem okvetlenül felhasználták a drága anyagot,Nem okvetlenül túl használták fel a drága anyagot,Nem okvetlenül túl felhasználták a drága anyagot
át,kellene,Nem kellene át,Nem átkellene,Nem kellene át adni gyorsan,Nem átkellene adni gyorsan,Nem mindenütt kellene át adni gyorsan,Nem mindenütt átkellene adni gyorsan,Nem mindenütt túl kellene át adni gyorsan,Nem mindenütt túl átkellene adni gyorsan
meg,szervezték,Nem szervezték meg,Nem megszervezték,Nem szervezték meg a nagy eseményt,Nem megszervezték a nagy eseményt,Nem aztán szervezték meg a nagy eseményt,Nem aztán megszervezték a nagy eseményt,Nem aztán túl szervezték meg a nagy eseményt,Nem aztán túl megszervezték a nagy eseményt
meg,szólaltathatok,Nem szólaltathatok meg,Nem megszólaltathatok,Nem szólalhatok meg nyilvánosan a gyűlésen,Nem megszólalhatok nyilvánosan a gyűlésen,Nem aztán szólalhatok meg nyilvánosan a gyűlésen,Nem aztán megszólalhatok nyilvánosan a gyűlésen,Nem aztán túl szólalhatok meg nyilvánosan a gyűlésen,Nem aztán túl megszólalhatok nyilvánosan a gyűlésen
szét,osszanak,Ne osszanak szét,Ne szétosszanak,Ne osszanak szét ingyenes jegyeket,Ne szétosszanak ingyenes jegyeket,Ne véletlenül osszanak szét ingyenes jegyeket,Ne véletlenül szétosszanak ingyenes jegyeket,Ne véletlenül túl osszanak szét ingyenes jegyeket,Ne véletlenül túl szétosszanak ingyenes jegyeket
hozzá,férhet,Nem férhet hozzá,Nem hozzáférhet,Nem férhet hozzá a titkos információkhoz,Nem hozzáférhet a titkos információkhoz,Nem hiába férhet hozzá a titkos információkhoz,Nem hiába hozzáférhet a titkos információkhoz,Nem hiába túl férhet hozzá a titkos információkhoz,Nem hiába túl hozzáférhet a titkos információkhoz
vissza,hív,Nem hív vissza,Nem visszahív,Nem hív vissza a régi barátját,Nem visszahív a régi barátját,Nem igazán hív vissza a régi barátját,Nem igazán visszahív a régi barátját,Nem igazán túl hív vissza a régi barátját,Nem igazán túl visszahív a régi barátját
el,jutottak,Nem jutottak el,Nem eljutottak,Nem jutottak el a végső célhoz,Nem eljutottak a végső célhoz,Nem véletlenül jutottak el a végső célhoz,Nem véletlenül eljutottak a végső célhoz,Nem véletlenül túl jutottak el a végső célhoz,Nem véletlenül túl eljutottak a végső célhoz
ki,vált,Nem vált ki,Nem kivált,Nem vált ki erős reakciót,Nem kivált erős reakciót,Nem ilyenkor vált ki erős reakciót,Nem ilyenkor kivált erős reakciót,Nem ilyenkor túl vált ki erős reakciót,Nem ilyenkor túl kivált erős reakciót
le,mond,Nem mond le,Nem lemond,Nem mondja le a nagy tervet,Nem lemondja a nagy tervet,Nem mindig mondja le a nagy tervet,Nem mindig lemondja a nagy tervet,Nem mindig túl mondja le a nagy tervet,Nem mindig túl lemondja a nagy tervet
meg,szűnt,Nem szűnt meg,Nem megszűnt,Nem szűnt meg a zavaró zaj,Nem megszűnt a zavaró zaj,Nem emiatt szűnt meg a zavaró zaj,Nem emiatt megszűnt a zavaró zaj,Nem emiatt túl szűnt meg a zavaró zaj,Nem emiatt túl megszűnt a zavaró zaj
le,cserélte,Nem cserélte le,Nem lecserélte,Nem cserélte le a defekt kereket,Nem lecserélte a defekt kereket,Nem azután cserélte le a defekt kereket,Nem azután lecserélte a defekt kereket,Nem azután túl cserélte le a defekt kereket,Nem azután túl lecserélte a defekt kereket
ki,állítsanak,Ne állítsanak ki,Ne kiállítsanak,Ne állítsanak ki értékes műtárgyat,Ne kiállítsanak értékes műtárgyat,Ne azután állítsanak ki értékes műtárgyat,Ne azután kiállítsanak értékes műtárgyat,Ne azután túl állítsanak ki értékes műtárgyat,Ne azután túl kiállítsanak értékes műtárgyat
el,mondja,Nem mondja el,Nem elmondja,Nem mondja el a nagy titkot,Nem elmondja a nagy titkot,Nem először mondja el a nagy titkot,Nem először elmondja a nagy titkot,Nem először túl mondja el a nagy titkot,Nem először túl elmondja a nagy titkot
vissza,jöttem,Nem jöttem vissza,Nem visszajöttem,Nem jöttem vissza a nagy buliból,Nem visszajöttem a nagy buliból,Nem mindjárt jöttem vissza a nagy buliból,Nem mindjárt visszajöttem a nagy buliból,Nem mindjárt túl jöttem vissza a nagy buliból,Nem mindjárt túl visszajöttem a nagy buliból
el,telhetett,Nem telhetett el,Nem eltelhetett,Nem telhetett el túl sok idő,Nem eltelhetett túl sok idő,Nem mindenesetre telhetett el túl sok idő,Nem mindenesetre eltelhetett túl sok idő,Nem mindenesetre túl telhetett el túl sok idő,Nem mindenesetre túl eltelhetett túl sok idő
el,szállásolják,Nem szállásolják el,Nem elszállásolják,Nem szállásolják el az összes menekülteket,Nem elszállásolják az összes menekülteket,Nem mindjárt szállásolják el az összes menekülteket,Nem mindjárt elszállásolják az összes menekülteket,Nem mindjárt túl szállásolják el az összes menekülteket,Nem mindjárt túl elszállásolják az összes menekülteket
ki,adja,Nem adja ki,Nem kiadja,Nem adja ki az új könyvet,Nem kiadja az új könyvet,Nem mindig adja ki az új könyvet,Nem mindig kiadja az új könyvet,Nem mindig túl adja ki az új könyvet,Nem mindig túl kiadja az új könyvet
ki,rajzolódik,Nem rajzolódik ki,Nem kirajzolódik,Nem rajzolódik ki a teljes kép,Nem kirajzolódik a teljes kép,Nem ott rajzolódik ki a teljes kép,Nem ott kirajzolódik a teljes kép,Nem ott túl rajzolódik ki a teljes kép,Nem ott túl kirajzolódik a teljes kép
fel,szólítják,Nem szólítják fel,Nem felszólítják,Nem szólítják fel a fiatal tanárt,Nem felszólítják a fiatal tanárt,Nem mindenáron szólítják fel a fiatal tanárt,Nem mindenáron felszólítják a fiatal tanárt,Nem mindenáron túl szólítják fel a fiatal tanárt,Nem mindenáron túl felszólítják a fiatal tanárt
meg,mentette,Nem mentette meg,Nem megmentette,Nem mentette meg a kis gyereket,Nem megmentette a kis gyereket,Nem hiába mentette meg a kis gyereket,Nem hiába megmentette a kis gyereket,Nem hiába túl mentette meg a kis gyereket,Nem hiába túl megmentette a kis gyereket
meg,fenyegették,Nem fenyegették meg,Nem megfenyegették,Nem fenyegették meg a fontos tanúkat,Nem megfenyegették a fontos tanúkat,Nem aznap fenyegették meg a fontos tanúkat,Nem aznap megfenyegették a fontos tanúkat,Nem aznap túl fenyegették meg a fontos tanúkat,Nem aznap túl megfenyegették a fontos tanúkat
fel,fedte,Nem fedte fel,Nem felfedte,Nem fedte fel a régi titkot,Nem felfedte a régi titkot,Nem emiatt fedte fel a régi titkot,Nem emiatt felfedte a régi titkot,Nem emiatt túl fedte fel a régi titkot,Nem emiatt túl felfedte a régi titkot
be,kerüljenek,Ne kerüljenek be,Ne bekerüljenek,Ne kerüljenek be a fő csapatba,Ne bekerüljenek a fő csapatba,Ne csaknem kerüljenek be a fő csapatba,Ne csaknem bekerüljenek a fő csapatba,Ne csaknem túl kerüljenek be a fő csapatba,Ne csaknem túl bekerüljenek a fő csapatba
ki,alakultak,Nem alakultak ki,Nem kialakultak,Nem alakultak ki igaz barátságok,Nem kialakultak igaz barátságok,Nem csaknem alakultak ki igaz barátságok,Nem csaknem kialakultak igaz barátságok,Nem csaknem túl alakultak ki igaz barátságok,Nem csaknem túl kialakultak igaz barátságok
meg,kezdik,Nem kezdik meg,Nem megkezdik,Nem kezdik meg az új munkát,Nem megkezdik az új munkát,Nem azután kezdik meg az új munkát,Nem azután megkezdik az új munkát,Nem azután túl kezdik meg az új munkát,Nem azután túl megkezdik az új munkát
el,jött,Nem jött el,Nem eljött,Nem jött el a várt vendég,Nem eljött a várt vendég,Nem aznap jött el a várt vendég,Nem aznap eljött a várt vendég,Nem aznap túl jött el a várt vendég,Nem aznap túl eljött a várt vendég
elő,állít,Nem állít elő,Nem előállít,Nem állít elő innovatív új terméket,Nem előállít innovatív új terméket,Nem mindenütt állít elő innovatív új terméket,Nem mindenütt előállít innovatív új terméket,Nem mindenütt túl állít elő innovatív új terméket,Nem mindenütt túl előállít innovatív új terméket
ki,javítja,Nem javítja ki,Nem kijavítja,Nem javítja ki a komoly hibát,Nem kijavítja a komoly hibát,Nem hiába javítja ki a komoly hibát,Nem hiába kijavítja a komoly hibát,Nem hiába túl javítja ki a komoly hibát,Nem hiába túl kijavítja a komoly hibát
ki,szabadítom,Nem szabadítom ki,Nem kiszabadítom,Nem szabadítom ki a fogságból madarat,Nem kiszabadítom a fogságból madarat,Nem korábban szabadítom ki a fogságból madarat,Nem korábban kiszabadítom a fogságból madarat,Nem korábban túl szabadítom ki a fogságból madarat,Nem korábban túl kiszabadítom a fogságból madarat
el,hagyják,Nem hagyják el,Nem elhagyják,Nem hagyják el a szülővárost,Nem elhagyják a szülővárost,Nem ilyenkor hagyják el a szülővárost,Nem ilyenkor elhagyják a szülővárost,Nem ilyenkor túl hagyják el a szülővárost,Nem ilyenkor túl elhagyják a szülővárost
meg,találná,Nem találná meg,Nem megtalálná,Nem találja meg az elveszett kulcsot,Nem megtalálja az elveszett kulcsot,Nem mindenáron találja meg az elveszett kulcsot,Nem mindenáron megtalálja az elveszett kulcsot,Nem mindenáron túl találja meg az elveszett kulcsot,Nem mindenáron túl megtalálja az elveszett kulcsot
ki,vessenek,Ne vessenek ki,Ne kivessenek,Ne vessenek ki a fő csapatból,Ne kivessenek a fő csapatból,Ne azután vessenek ki a fő csapatból,Ne azután kivessenek a fő csapatból,Ne azután túl vessenek ki a fő csapatból,Ne azután túl kivessenek a fő csapatból
át,vett,Nem vett át,Nem átvett,Nem vett át fontos üzenetet,Nem átvett fontos üzenetet,Nem hiába vett át fontos üzenetet,Nem hiába átvett fontos üzenetet,Nem hiába túl vett át fontos üzenetet,Nem hiába túl átvett fontos üzenetet
meg,fogalmazzon,Ne fogalmazzon meg,Ne megfogalmazzon,Ne fogalmazzon meg hivatalos dokumentumot,Ne megfogalmazzon hivatalos dokumentumot,Ne emiatt fogalmazzon meg hivatalos dokumentumot,Ne emiatt megfogalmazzon hivatalos dokumentumot,Ne emiatt túl fogalmazzon meg hivatalos dokumentumot,Ne emiatt túl megfogalmazzon hivatalos dokumentumot
össze,veszhet,Nem veszhet össze,Nem összeveszhet,Nem veszhet össze a legjobb barátjával,Nem összeveszhet a legjobb barátjával,Nem emiatt veszhet össze a legjobb barátjával,Nem emiatt összeveszhet a legjobb barátjával,Nem emiatt túl veszhet össze a legjobb barátjával,Nem emiatt túl összeveszhet a legjobb barátjával
össze,hív,Nem hív össze,Nem összehív,Nem hív össze sürgős gyűlést,Nem összehív sürgős gyűlést,Nem aznap hív össze sürgős gyűlést,Nem aznap összehív sürgős gyűlést,Nem aznap túl hív össze sürgős gyűlést,Nem aznap túl összehív sürgős gyűlést
fel,menti,Nem menti fel,Nem felmenti,Nem menti fel a kedves tanárt,Nem felmenti a kedves tanárt,Nem okvetlenül menti fel a kedves tanárt,Nem okvetlenül felmenti a kedves tanárt,Nem okvetlenül túl menti fel a kedves tanárt,Nem okvetlenül túl felmenti a kedves tanárt
meg,akadályozta,Nem akadályozta meg,Nem megakadályozta,Nem akadályozta meg a súlyos balesetet,Nem megakadályozta a súlyos balesetet,Nem azóta akadályozta meg a súlyos balesetet,Nem azóta megakadályozta a súlyos balesetet,Nem azóta túl akadályozta meg a súlyos balesetet,Nem azóta túl megakadályozta a súlyos balesetet
meg,elevenednek,Nem elevenednek meg,Nem megelevenednek,Nem elevenednek meg az élő képek,Nem megelevenednek az élő képek,Nem mindjárt elevenednek meg az élő képek,Nem mindjárt megelevenednek az élő képek,Nem mindjárt túl elevenednek meg az élő képek,Nem mindjárt túl megelevenednek az élő képek
el,vállalhatok,Nem vállalhatok el,Nem elvállalhatok,Nem vállalhatok el nehéz új feladatot,Nem elvállalhatok nehéz új feladatot,Nem először vállalhatok el nehéz új feladatot,Nem először elvállalhatok nehéz új feladatot,Nem először túl vállalhatok el nehéz új feladatot,Nem először túl elvállalhatok nehéz új feladatot
fel,tűnt,Nem tűnt fel,Nem feltűnt,Nem tűnt fel egyetlen senkinek,Nem feltűnt egyetlen senkinek,Nem időközben tűnt fel egyetlen senkinek,Nem időközben feltűnt egyetlen senkinek,Nem időközben túl tűnt fel egyetlen senkinek,Nem időközben túl feltűnt egyetlen senkinek
el,szenvedte,Nem szenvedte el,Nem elszenvedte,Nem szenvedte el a nagy vereséget,Nem elszenvedte a nagy vereséget,Nem ott szenvedte el a nagy vereséget,Nem ott elszenvedte a nagy vereséget,Nem ott túl szenvedte el a nagy vereséget,Nem ott túl elszenvedte a nagy vereséget
ki,termelt,Nem termelt ki,Nem kitermelt,Nem termelt ki sok gázt,Nem kitermelt sok gázt,Nem hiába termelt ki sok gázt,Nem hiába kitermelt sok gázt,Nem hiába túl termelt ki sok gázt,Nem hiába túl kitermelt sok gázt
